USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
10010,99999,JAN MAYEN(NOR-NAVY),NO,,ENJA,70.933,-8.667,9,19310101,20250824
10014,99999,SORSTOKKEN / STORD,NO,,ENSO,59.792,5.341,48.8,19861120,20250824
10020,99999,VERLEGENHUKEN,NO,,,80.05,16.25,8,19861109,20250824
10030,99999,HORNSUND,NO,,,77,15.5,12,19850601,20250824
10060,99999,EDGEOYA,NO,,,78.25,22.817,14,19730101,20250824
10070,99999,NY-ALESUND,SV,,,78.917,11.933,7.7,19730106,20250824
10080,99999,LONGYEAR,SV,,ENSB,78.246,15.466,26.8,19750929,20250824
10090,99999,KARL XII OYA,SV,,,80.65,25,5,19550101,20250824
10100,99999,ANDOYA,NO,,ENAN,69.293,16.144,13.1,19310103,20250824
10110,99999,KVITOYA,SV,,,80.067,31.5,10,19861118,20250824
10150,99999,HEKKINGEN FYR,NO,,,69.6,17.833,14,19800314,20250824
10160,99999,KONGSOYA,NO,,,78.933,28.9,20,19930501,20250824
10170,99999,AKSELOYA,SV,,,77.683,14.783,6,19730101,20250824
10200,99999,SORKAPPOYA,SV,,,76.483,16.55,10,20101008,20250824
10230,99999,BARDUFOSS,NO,,ENDU,69.056,18.54,76.8,19400713,20250824
10231,99999,DRAUGEN,NO,,ENDR,64.35,7.8,0,20040510,20250824
10240,99999,PYRAMIDEN,NO,,,78.65,16.367,20,19730101,20231019
10250,99999,TROMSO,NO,,ENTC,69.683,18.919,9.4,19730101,20250824
10260,99999,TROMSO,NO,,,69.65,18.933,114.5,19970201,20250824
10270,99999,TROMSO-HOLT,NO,,,69.65,18.9,20,20110928,20250824
10280,99999,BJORNOYA ISLAND,NO,,ENBJ,74.517,19.017,18,19310103,20250824
10300,99999,KISTEFJELL,NO,,,69.283,18.133,982,19510101,20250824
10330,99999,TORSVAG FYR,NO,,,70.25,19.5,24,19730101,20250824
10350,99999,LYNGEN GJERDVASSBU,NO,,,69.567,20.1,710,19730101,20250824
10360,99999,NORDNESFJELLET,NO,,,69.567,20.433,710,20040510,20221103
10370,99999,SKIBOTN 2,NO,,,69.383,20.283,20,19730101,20250824
10420,99999,HASVIK-SLUSKFJELLET,NO,,,70.6,22.45,438,20080917,20250824
10430,99999,ROGNSUNDET,NO,,,70.417,22.817,10,19730101,20250824
10440,99999,HASVIK,NO,,ENHK,70.487,22.14,6.4,20050102,20250824
10450,99999,NORDSTRAUM I KVAENANGEN,NO,,,69.833,21.883,6,19730101,20250824
10460,99999,SORKJOSEN,NO,,ENSR,69.787,20.959,4.9,19750905,20250824
10470,99999,KAUTOKEINO II,NO,,ENKA,69.017,23.067,307,19730101,20250824
10490,99999,ALTA,NO,,ENAT,69.976,23.372,2.7,19730101,20250824
10520,99999,HAMMERFEST AP,NO,,ENHF,70.683,23.683,81,19401008,20250824
10550,99999,FRUHOLMEN FYR,NO,,,71.1,23.983,14.2,19310101,20250824
10570,99999,CUOVDDATMOHKKI,NO,,,69.367,24.433,286,19730101,20250824
10580,99999,SUOLOVUOPMI LULIT,NO,,,69.567,23.533,381,20050218,20250824
10590,99999,BANAK / LAKSELV,NO,,ENNA,70.069,24.973,7.6,19730101,20250824
10620,99999,HOPEN ISLAND,NO,,ENHO,76.5,25.067,10,19550101,20250824
10650,99999,KARASJOK,NO,,,69.467,25.517,133,19730101,20250824
10680,99999,HONNINGSVAG/VALAN,NO,,ENHV,71.017,25.983,14,19800604,20250824
10740,99999,MEHAMN,NO,,ENMH,71.033,27.833,13,19750905,20250824
10760,99999,TANABRU,NO,,,70.217,28.167,32,20121121,20250824
10780,99999,SLETTNES FYR,NO,,,71.1,28.233,10,19730101,20250824
10820,99999,NYRUD,NO,,,69.15,29.25,56,19730919,20250824
10830,99999,BERLEVAG,NO,,ENBV,70.867,29.033,13,19750905,20250824
